Customer_ID,Customer_Name,Gender,Age,City,State,Region,Customer_Segment,Registration_Date
CUST00001,Isha Mishra,Male,38,Ahmedabad,Gujarat,West,Consumer,2025-05-23
CUST00002,Amit Rao,Male,47,Lucknow,Uttar Pradesh,North,Consumer,2022-05-11
CUST00003,Rahul Rao,Female,28,Pune,Maharashtra,West,Consumer,2023-04-05
CUST00004,Divya Naidu,Male,28,Jaipur,Rajasthan,North,Corporate,2023-12-01
CUST00005,Varun Joshi,Male,19,Ranchi,Jharkhand,East,Small Business,2025-02-28
CUST00006,Rohan Gupta,Male,48,Mumbai,Maharashtra,West,Consumer,2023-01-23
CUST00007,Meera Reddy,Male,41,Delhi,Delhi,North,Corporate,2024-02-15
CUST00008,Priya Joshi,Male,22,Patna,Bihar,East,Consumer,2025-11-12
CUST00009,Ananya Verma,Male,36,Bengaluru,Karnataka,South,Small Business,2023-04-01
CUST00010,Neha Singh,Male,42,Bhubaneswar,Odisha,East,Consumer,2024-12-12
CUST00011,Suresh Naidu,Male,18,Surat,Gujarat,West,Consumer,2024-12-22
CUST00012,Rohan Sharma,Female,20,Lucknow,Uttar Pradesh,North,Corporate,2023-01-14
CUST00013,Pooja Gupta,Female,25,Mumbai,Maharashtra,West,Consumer,2024-03-15
CUST00014,Divya Rao,Male,32,Chennai,Tamil Nadu,South,Consumer,2023-09-05
CUST00015,Meera Patel,Female,48,Patna,Bihar,East,Consumer,2023-01-28
CUST00016,Varun Mehta,Male,37,Patna,Bihar,East,Consumer,2024-05-13
CUST00017,Nikhil Kumar,Female,26,Ahmedabad,Gujarat,West,Corporate,2025-04-09
CUST00018,Sneha Mishra,Male,38,Kolkata,West Bengal,East,Consumer,2025-01-14
CUST00019,Rahul Mehta,Female,43,Chandigarh,Chandigarh,North,Corporate,2025-09-25
CUST00020,Amit Mehta,Male,37,Bhubaneswar,Odisha,East,Consumer,2022-07-09
CUST00021,Arjun Naidu,Female,25,Hyderabad,Telangana,South,Consumer,2022-11-14
CUST00022,Arjun Patel,Male,28,Mumbai,Maharashtra,West,Consumer,2025-10-29
CUST00023,Ravi Kumar,Male,33,Ranchi,Jharkhand,East,Consumer,2024-08-09
CUST00024,Nikhil Reddy,Male,18,Hyderabad,Telangana,South,Consumer,2025-06-02
CUST00025,Rohan Joshi,Male,37,Hyderabad,Telangana,South,Consumer,2024-04-15
CUST00026,Amit Rao,Male,33,Ahmedabad,Gujarat,West,Corporate,2022-10-07
CUST00027,Isha Reddy,Female,25,Mumbai,Maharashtra,West,Corporate,2025-02-21
CUST00028,Ananya Mishra,Female,34,Lucknow,Uttar Pradesh,North,Consumer,2023-02-07
CUST00029,Priya Choudhary,Male,23,Jaipur,Rajasthan,North,Corporate,2023-07-05
CUST00030,Neha Sharma,Female,38,Bengaluru,Karnataka,South,Corporate,2022-05-31
CUST00031,Pooja Patel,Male,18,Patna,Bihar,East,Small Business,2022-09-11
